gazetteerName,gazetteerId,category1,category2,category3,startYear,endYear,data,unit
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1990,1990,5000.0,万元 10K yuan
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1991,1991,4855.0,万元 10K yuan
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1992,1992,5618.0,万元 10K yuan
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1993,1993,8000.0,万元 10K yuan
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1996,1996,2.46,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1997,1997,3.0621,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1998,1998,3.358,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,1999,1999,3.515,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2000,2000,3.75,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2004,2004,5.42,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2005,2005,5.78,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2006,2006,6.4,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2007,2007,7.3,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2008,2008,7.9,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2009,2009,9.2,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2010,2010,0.78,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2011,2011,0.77,亿元 100 millions
龙爪树村志,241,集体经济收入 Collective Economic Income,总 Total,null,2012,2012,0.77,亿元 100 millions
龙爪树村志,241,人均收入 Per Capita Income,null,null,1991,1991,1662.0,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,1997,1997,5200.0,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,1998,1998,6000.0,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,1999,1999,6000.0,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2004,2004,8773.2,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2005,2005,10576.4,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2006,2006,22786.1,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2007,2007,22819.7,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2008,2008,21803.4,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2009,2009,23952.0,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2010,2010,25860.7,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2011,2011,27888.1,元 yuan
龙爪树村志,241,人均收入 Per Capita Income,null,null,2012,2012,24828.4,元 yuan
