gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
王兰庄村志,546,人口 Population,总人口 Total Population,1949,1949,435.0,人数 number of people
王兰庄村志,546,人口 Population,总人口 Total Population,1953,1953,470.0,人数 number of people
王兰庄村志,546,人口 Population,总人口 Total Population,1980,1980,1276.0,人数 number of people
王兰庄村志,546,人口 Population,总人口 Total Population,1985,1985,1347.0,人数 number of people
王兰庄村志,546,人口 Population,总人口 Total Population,1990,1990,1790.0,人数 number of people
王兰庄村志,546,人口 Population,总人口 Total Population,1995,1995,1679.0,人数 number of people
王兰庄村志,546,人口 Population,总人口 Total Population,2003,2003,1766.0,人数 number of people
王兰庄村志,546,人口 Population,总人口 Total Population,2016,2016,2216.0,人数 number of people
王兰庄村志,546,人口 Population,男性人口 Male Population,2016,2016,1064.0,人数 number of people
王兰庄村志,546,人口 Population,女性人口 Female Population,2016,2016,1152.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,1949,1949,76.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,1953,1953,96.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,1980,1980,293.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,1985,1985,362.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,1990,1990,516.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,1995,1995,650.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,2003,2003,620.0,人数 number of people
王兰庄村志,546,户数 Number of Households,null,2016,2016,720.0,人数 number of people
王兰庄村志,546,迁入 Migration In,人数 number of people,2016,2016,60.0,人数 number of people
王兰庄村志,546,迁出 Migration Out,人数 number of people,2016,2016,1.0,人数 number of people
